"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"01001","Adair County Volunteer Fire Department","200 Merchant ST",,"Columbia","KY","42728",,,"PO Box 96","Columbia","KY","42728-0096","270-384-3278","270-384-0001","ADAIR                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","33","0","0","0","false"
"71742","Adairville Rural Fire Department, Inc.","220 W Gallatin ST",,"Adairville","KY","42202",,,"PO Box 185","Adairville","KY","42202-0185","270-539-6731","270-539-5503","LOGAN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","12","0","0","0","false"
"30135","Airport-Sorgho Fire Department","6724 Highway 56",,"Owensboro","KY","42301",,,"PO Box 21285","Owensboro","KY","42304-1285","270-771-4914","270-771-4108","DAVIESS                  ","Volunteer","Local (includes career, combination, and volunteer)","https://www.airportsorghofd.com/","1","0","32","0","0","0","false"
"19079","Alexandria Fire District","7951 Alexandria PIKE",,"Alexandria","KY","41001-1159","7951 Alexandria PIKE",,"","Alexandria","KY","41001-1159","859-635-5991","859-635-5999","CAMPBELL                 ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.alexandriaky.org/","1","18","30","0","0","5","true"
"36161","Allen Fire Department","142 Court ST","PO Box 276","Allen","KY","41601-0276",,,"PO Box 276","Allen","KY","41601-0276","606-874-8191",,"FLOYD                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","10",
"A9805","Allensville Fire Department","8825 Allensville RD","PO Box 131","Allensville","KY","42204",,,"PO Box 131","Allensville","KY","42204-0131","270-604-2775",,"TODD                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","2","true"
"00584","Alvaton Volunteer Fire Department","6403 Old Scottsville RD",,"Alvaton","KY","42122",,,"PO Box 186","Alvaton","KY","42122-0186","270-793-0832",,"WARREN                   ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.alvatonfire.com/","3","1","36","0","0","15","false"
"56277","Anchorage Fire Protection District","1400 Evergreen RD",,"Anchorage","KY","40223-1418","1400 Evergreen RD",,"","Anchorage","KY","40223-1418","502-245-6755","502-245-9029","JEFFERSON                ","Career","Local (includes career, combination, and volunteer)","https://www.anchoragefireandems.com/","1","21","0","0","1","0","true"
"03719","Anderson County Fire Protection District","1009 Wildcat RD",,"Lawrenceburg","KY","40342",,,"PO Box 520","Lawrenceburg","KY","40342-0520","502-839-5039","502-839-5032","ANDERSON                 ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.andersoncountyfd.com/","5","1","74","0","0","0","true"
"43792","Anneta Volunteer Fire & Rescue Department #792","11700 Anneta RD",,"Leitchfield","KY","42754","11700 Anneta RD",,"","Leitchfield","KY","42754-8461","270-242-3102","270-242-3102","GRAYSON                  ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","2","17","0","0","12","false"
