name,address,latitude,longitude
Adair County Volunteer Fire Department,"200 Merchant St, Columbia, KY 42728, USA",37.104458,-85.30559509999999
"Adairville Rural Fire Department, Inc.","220 W Gallatin St, Adairville, KY 42202, USA",36.6718337,-86.8520927
Airport-Sorgho Fire Department,"724 Hwy 56, Owensboro, KY 42301, USA",37.762586,-87.242333
Alexandria Fire District,"7951 Alexandria Pike, Alexandria, KY 41001, USA",38.9677409,-84.3939429
Allen Fire Department,"53 S 3rd St, Allen City, KY 41601, USA",37.61486,-82.722201
Allensville Fire Department,"8825 Allensville Rd, Allensville, KY 42204, USA",36.7132545,-87.0605058
Alvaton Volunteer Fire Department,"6403 Old Scottsville Rd, Alvaton, KY 42122, USA",36.8760857,-86.35323849999999
Anchorage Fire Protection District,"1400 Evergreen Rd, Anchorage, KY 40223, USA",38.2652492,-85.53944279999999
Anderson County Fire Protection District,"1009 Wildcat Rd, Lawrenceburg, KY 40342, USA",38.00841,-84.8793249
Anneta Volunteer Fire & Rescue Department #792,"11700 Anneta Rd, Leitchfield, KY 42754, USA",37.3264897,-86.26435599999999
Anton Volunteer Fire Department,"98 E Center St, Madisonville, KY 42431, USA",37.327824,-87.49726030000001
Artemus Volunteer Fire Department,"Artemus, KY 40903, USA",36.8313983,-83.8392777
Ashland Fire Department,"1021 Carter Ave, Ashland, KY 41101, USA",38.4809946,-82.6460158
"Auburn Rural Fire Fighter, Inc.","108 Spring St, Auburn, KY 42206, USA",36.8627851,-86.70954259999999
Augusta Fire Department,"Main St, Augusta, KY 41002, USA",38.7729656,-84.0073268
Austin Tracy Volunteer Fire Department,"2542 Austin Tracy Rd, Lucas, KY 42156, USA",36.8290063,-86.03079129999999
"Auxier Volunteer Fire Department, Inc.","218 Railroad St, Auxier, KY 41602, USA",37.7383991,-82.7618931
Bagdad Fire Protection District,"4741 Bagdad Rd, Bagdad, KY 40003, USA",38.26125830000001,-85.05855509999999
Bailey Switch Volunteer Fire Department,"1 Cumberland Gap Pkwy, Barbourville, KY 40906, USA",36.9130487,-83.9027166
Baldrock Fire Department,"1001 London Dock Rd, London, KY 40744, USA",36.987504,-84.290928
Ballardsville Fire District,"4604 KY-53, Crestwood, KY 40014, USA",38.3603265,-85.3455998
Bandana Fire Department,"Bandana, KY 42022, USA",37.1439852,-88.9473718
Barbourville Fire Department,"196 Daniel Boone Dr, Barbourville, KY 40906, USA",36.8655348,-83.8873461
"Bardstown-Nelson County Volunteer Fire Department, Inc.","220 N 5th St, Bardstown, KY 40004, USA",37.8127728,-85.46996949999999
Bardwell Fire Department,"Bardwell, KY 42023, USA",36.8706111,-89.0097869
Barlow City Volunteer Fire Department,"Barlow, KY 42024, USA",37.0517194,-89.0467345
Barlow Rural Fire Department,"Barlow, KY 42024, USA",37.0517194,-89.0467345
Barren River Volunteer Fire Department,"529 Brookwood Dr, Bowling Green, KY 42101, USA",36.9890589,-86.50422259999999
Baskett Fire Department,"7492 Dr Hodge Rd, Henderson, KY 42420, USA",37.871007,-87.4643368
Battletown Fire Department,"8700 Battletown Rd, Battletown, KY 40104, USA",38.063956,-86.2938631
Bear Creek Volunteer Fire Department,"Bee Spring, KY 42207, USA",37.292617,-86.28695069999999
Bear Track Volunteer Fire Department,"864 KY-399, Beattyville, KY 41311, USA",37.6234109,-83.7716681
Beattyville Volunteer Fire Department,"1275 Grand Ave, Beattyville, KY 41311, USA",37.5878174,-83.69812189999999
Bedford Volunteer Fire & Rescue,"23 Church St, Bedford, KY 40006, USA",38.5933405,-85.3162212
Beechmont Volunteer Fire Department,"3670 Merle Travis Hwy, Beech Creek, KY 42321, USA",37.2035504,-87.08045589999999
"Belfry Volunteer Fire Department, LTD","253701 Old Hwy 119, Belfry, KY 41514, USA",37.6362787,-82.2560168
Belleview-McVille Fire Protection District,"6900 McVille Rd, Burlington, KY 41005, USA",38.982522,-84.82501099999999
